127.0.0.1 - - [28/Jun/2017:20:35:55 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:39:11 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:51:33 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:11 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:11 +0100] "GET /web-noSQL/webpages/Logo.jpg HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:53 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:57 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:58 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:58 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:20:53:58 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:21:10:50 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:46:36 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:47:12 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:48:16 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [28/Jun/2017:22:48:16 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 404 1003
