127.0.0.1 - - [07/Jul/2017:00:11:54 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:11:56 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:11:56 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:11:56 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:11:56 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:11:56 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:05 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:05 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:06 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:06 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:06 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:39 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:39 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:40 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:40 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:13:40 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:04 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3495
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:04 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:04 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:04 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:04 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:41 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:41 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:41 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:41 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:14:41 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:15:41 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3563
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:15:42 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:15:42 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:15:42 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:15:42 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:16:51 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3571
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:16:51 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:16:51 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.jpg HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:16:51 +0100] "GET /web-SQL/webpages/Sample_photos/facebook.jpg HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:16:51 +0100] "GET /web-SQL/webpages/Sample_photos/twitter.jpg HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:05 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [07/Jul/2017:00:17:05 +0100] "GET /web-SQL/webpages/bbr.css HTTP/1.1" 304 -
