127.0.0.1 - - [02/Aug/2017:10:28:04 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:28:06 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:28:29 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:28:29 +0100] "GET /web-SQL/webpages/Sample_photos/logo/main_logo.JPG HTTP/1.1" 200 20325
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:28:30 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:28:39 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:04 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:07 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:13 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:18 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:23 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:29 +0100] "GET /web-SQL/webpages/contact.jsp HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:44 +0100] "GET /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:29:56 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:25 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:25 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:29 +0100] "GET /web-SQL/webpages/advertPage.jsp HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:36 +0100] "GET /web-SQL/webpages/erase.jsp HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:42 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:45 +0100] "GET /web-SQL/webpages/UpdateUserRecords.jsp HTTP/1.1" 200 2583
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:52 +0100] "GET /web-SQL/webpages/sign-up.jsp HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:30:56 +0100] "GET /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:06 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:16 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:16 +0100] "GET /web-SQL/webpages/userpage.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:18 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:23 +0100] "GET /web-SQL/webpages/UpdateUserRecords.jsp HTTP/1.1" 200 2583
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:34 +0100] "GET /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:41 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:50 +0100] "POST /web-SQL/webpages/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:50 +0100] "GET /web-SQL/webpages/adminPage.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:31:55 +0100] "GET /web-SQL/webpages/UpdateAdminRecord.jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:32:07 +0100] "POST /web-SQL/webpages/UpdateAdminRecord.jsp HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:32:10 +0100] "GET /web-SQL/webpages/adminPage.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:32:12 +0100] "GET /web-SQL/webpages/adminSignUp.jsp HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:32:48 +0100] "GET /web-SQL/webpages/index.jsp HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [02/Aug/2017:10:33:51 +0100] "GET /web-SQL/webpages/to_buy.jsp HTTP/1.1" 200 2303
